timestamp,value
1733760000000,200.0
1733760060000,201.2
1733760120000,199.6
1733760180000,200.8
1733760240000,200.3
1733760300000,198.9
1733760360000,201.0
1733760420000,200.4
1733760480000,199.8
1733760540000,201.3
1733760600000,260.5
1733760660000,262.1
1733760720000,259.4
1733760780000,261.7
1733760840000,260.2
1733760900000,190.1
1733760960000,189.6
1733761020000,191.2
1733761080000,188.9
1733761140000,190.7
1733761200000,210.3
1733761260000,209.7
1733761320000,211.4
1733761380000,208.8
1733761440000,210.9
1733761500000,285.0
1733761560000,209.8
1733761620000,210.6
1733761680000,209.9
1733761740000,211.1
1733761800000,170.4
1733761860000,171.0
1733761920000,169.6
1733761980000,170.9
1733762040000,170.2
1733762100000,230.8
1733762160000,231.5
1733762220000,229.7
1733762280000,232.2
1733762340000,230.1
1733762400000,205.2
1733762460000,204.7
1733762520000,206.1
1733762580000,203.9
1733762640000,205.8
1733762700000,275.6
1733762760000,276.3
1733762820000,274.9
1733762880000,277.1
1733762940000,275.2
1733763000000,195.0
1733763060000,194.4
1733763120000,196.2
1733763180000,193.7
1733763240000,195.6
1733763300000,240.9
1733763360000,241.8
1733763420000,239.9
1733763480000,242.3



