timestamp,value
1733760000000,150.25
1733763600000,152.80
1733767200000,151.30
1733770800000,153.50
1733774400000,155.20
1733778000000,154.80
1733781600000,156.90
1733785200000,158.40
1733788800000,157.20
1733792400000,159.80
1733796000000,161.50
1733799600000,160.20
1733803200000,162.90
1733806800000,164.30
1733810400000,163.50
1733814000000,165.80
1733817600000,167.20
1733821200000,166.40
1733824800000,168.90
1733828400000,170.50
1733832000000,169.80
1733835600000,171.30
1733839200000,173.20
1733842800000,172.50
1733846400000,174.80

